index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0936,0.1625,0.52,0.2476,0.1187,0.38,0.181
1,0.0516,0.0479,0.6122,0.0889,0.0415,0.5306,0.077
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0079,0.0037,0.5,0.0074,0.0037,0.5,0.0074
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.2843,0.0143,0.8125,0.028,0.0143,0.8125,0.028
6,0.017,0.0487,0.5909,0.09,0.0337,0.4091,0.0623
7,0.4538,0.0247,0.8889,0.0481,0.0232,0.8333,0.0451
8,0.0227,0.0079,0.2222,0.0152,0.0079,0.2222,0.0152
9,0.0,0.0035,0.4,0.007,0.0035,0.4,0.007
10,0.0312,0.0132,0.6897,0.026,0.0106,0.5517,0.0208
11,0.0183,0.0265,0.2273,0.0474,0.0212,0.1818,0.0379
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0139,0.0048,0.6,0.0095,0.004,0.5,0.0079
14,0.0446,0.0102,0.375,0.0199,0.0091,0.3333,0.0177
15,0.3636,0.1182,0.8667,0.208,0.1182,0.8667,0.208
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0042,0.5,0.0083,0.0042,0.5,0.0083
18,0.0146,0.0296,0.5758,0.0563,0.0234,0.4545,0.0444
19,0.0255,0.0,0.0,0.0,0.0,0.0,0.0
