index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0339,0.1468,0.32,0.2013,0.1193,0.26,0.1635
1,0.0599,0.0184,0.6327,0.0358,0.0137,0.4694,0.0265
2,0.0,0.0006,1.0,0.0011,0.0006,1.0,0.0011
3,0.0109,0.0022,0.5,0.0043,0.0022,0.5,0.0043
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0731,0.008,0.75,0.0158,0.0066,0.625,0.0131
6,0.0821,0.0192,0.8182,0.0375,0.016,0.6818,0.0312
7,0.1525,0.2245,0.6111,0.3284,0.2041,0.5556,0.2985
8,0.0215,0.008,0.2222,0.0154,0.008,0.2222,0.0154
9,0.0151,0.0096,0.2,0.0183,0.0096,0.2,0.0183
10,0.1841,0.0114,0.6552,0.0224,0.0096,0.5517,0.0189
11,0.0127,0.0074,0.3182,0.0144,0.0063,0.2727,0.0123
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0255,0.0035,0.6,0.0069,0.0035,0.6,0.0069
14,0.1214,0.1148,0.2917,0.1647,0.082,0.2083,0.1176
15,0.1507,0.0142,0.7333,0.0279,0.0116,0.6,0.0228
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0151,0.043,0.3939,0.0776,0.0331,0.303,0.0597
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
