index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.1379,0.0212,0.72,0.0413,0.0142,0.48,0.0275
1,0.0849,0.0429,0.551,0.0796,0.0334,0.4286,0.0619
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0245,0.0014,0.5,0.0027,0.0014,0.5,0.0027
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3623,0.1,0.8125,0.1781,0.0923,0.75,0.1644
6,0.2224,0.0593,0.6818,0.1091,0.0435,0.5,0.08
7,0.4791,0.0169,0.8889,0.0331,0.0158,0.8333,0.031
8,0.0143,0.0029,0.2222,0.0058,0.0029,0.2222,0.0058
9,0.0,0.0012,0.2,0.0025,0.0012,0.2,0.0025
10,0.0868,0.0111,0.6207,0.0218,0.0092,0.5172,0.0181
11,0.0127,0.0061,0.3182,0.0119,0.0061,0.3182,0.0119
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0272,0.0091,0.7,0.0179,0.0091,0.7,0.0179
14,0.0812,0.0608,0.375,0.1047,0.0608,0.375,0.1047
15,0.2342,0.0655,0.7333,0.1202,0.0536,0.6,0.0984
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0188,0.0121,0.5152,0.0236,0.0092,0.3939,0.018
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
