index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0881,0.0388,0.58,0.0727,0.0334,0.5,0.0627
1,0.0274,0.0269,0.6327,0.0515,0.0217,0.5102,0.0416
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0173,0.003,0.5,0.006,0.003,0.5,0.006
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1052,0.4615,0.375,0.4138,0.3077,0.25,0.2759
6,0.1415,0.0541,0.7273,0.1006,0.0473,0.6364,0.0881
7,0.5147,0.0809,0.7778,0.1466,0.0809,0.7778,0.1466
8,0.0187,0.0036,0.2222,0.007,0.0036,0.2222,0.007
9,0.0,0.0022,0.4,0.0044,0.0022,0.4,0.0044
10,0.0477,0.0538,0.5172,0.0974,0.0502,0.4828,0.0909
11,0.0127,0.0097,0.3182,0.0187,0.0083,0.2727,0.0161
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0196,0.0054,0.5,0.0106,0.0054,0.5,0.0106
14,0.042,0.0111,0.4167,0.0216,0.0111,0.4167,0.0216
15,0.063,0.0428,0.5333,0.0792,0.0428,0.5333,0.0792
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0038,0.5,0.0076,0.0038,0.5,0.0076
18,0.0145,0.0326,0.2727,0.0583,0.0326,0.2727,0.0583
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
