index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0967,0.0216,0.62,0.0418,0.0202,0.58,0.0391
1,0.0364,0.0335,0.6531,0.0637,0.0262,0.5102,0.0498
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.004,0.5,0.0078,0.004,0.5,0.0078
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3889,0.1765,0.5625,0.2687,0.1765,0.5625,0.2687
6,0.1879,0.0209,0.6364,0.0405,0.0194,0.5909,0.0376
7,0.4791,0.0183,0.8889,0.036,0.0172,0.8333,0.0337
8,0.0367,0.0018,0.2222,0.0036,0.0018,0.2222,0.0036
9,0.0309,0.0124,0.4,0.0241,0.0124,0.4,0.0241
10,0.1745,0.0595,0.6897,0.1096,0.0476,0.5517,0.0877
11,0.0,0.0733,0.6364,0.1315,0.0471,0.4091,0.0845
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.032,0.0316,0.3,0.0571,0.0316,0.3,0.0571
14,0.0493,0.0121,0.4167,0.0235,0.0097,0.3333,0.0188
15,0.1613,0.0127,0.7333,0.0249,0.0115,0.6667,0.0227
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0019,1.0,0.0039,0.0019,1.0,0.0039
18,0.0259,0.0274,0.5152,0.052,0.0193,0.3636,0.0367
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
