index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0836,0.2738,0.46,0.3433,0.1786,0.3,0.2239
1,0.1611,0.1319,0.6327,0.2183,0.1106,0.5306,0.1831
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0151,0.0256,0.5,0.0488,0.0256,0.5,0.0488
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.208,0.1,0.75,0.1765,0.1,0.75,0.1765
6,0.1578,0.2,0.6364,0.3043,0.1571,0.5,0.2391
7,0.3919,0.2083,0.8333,0.3333,0.1806,0.7222,0.2889
8,0.0356,0.0278,0.3333,0.0513,0.0278,0.3333,0.0513
9,0.1267,0.0694,1.0,0.1299,0.0694,1.0,0.1299
10,0.0948,0.0749,0.6897,0.1351,0.0674,0.6207,0.1216
11,0.0,0.0577,0.2727,0.0952,0.0385,0.1818,0.0635
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0257,0.0379,0.5,0.0704,0.0303,0.4,0.0563
14,0.0657,0.2778,0.2083,0.2381,0.2222,0.1667,0.1905
15,0.3095,0.1398,0.8667,0.2407,0.1398,0.8667,0.2407
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0157,0.0726,0.5152,0.1273,0.0513,0.3636,0.0899
19,0.0339,0.0,0.0,0.0,0.0,0.0,0.0
