index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0588,0.0232,0.7,0.045,0.0179,0.54,0.0347
1,0.1021,0.032,0.551,0.0605,0.0273,0.4694,0.0516
2,0.0,0.0012,1.0,0.0024,0.0012,1.0,0.0024
3,0.0,0.001,0.5,0.0019,0.001,0.5,0.0019
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1188,0.0361,0.75,0.069,0.0301,0.625,0.0575
6,0.1677,0.019,0.6818,0.037,0.0165,0.5909,0.0321
7,0.0,0.0228,0.8889,0.0444,0.0228,0.8889,0.0444
8,0.0313,0.0015,0.2222,0.0031,0.0015,0.2222,0.0031
9,0.0,0.0163,0.4,0.0313,0.0163,0.4,0.0313
10,0.1748,0.2766,0.4483,0.3421,0.2553,0.4138,0.3158
11,0.0164,0.0089,0.2727,0.0173,0.0074,0.2273,0.0144
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0272,0.0118,0.9,0.0233,0.0118,0.9,0.0233
14,0.0182,0.042,0.25,0.0719,0.042,0.25,0.0719
15,0.0582,0.0174,0.4,0.0334,0.0174,0.4,0.0334
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0216,0.0131,0.5152,0.0256,0.0093,0.3636,0.0181
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
