index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0,0.0051,0.2222,0.0099,0.0051,0.2222,0.0099
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0229,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0164,0.2,0.0303,0.0164,0.2,0.0303
4,0.3322,0.1368,0.8889,0.237,0.1111,0.7222,0.1926
5,0.3613,0.2444,0.6875,0.3607,0.2444,0.6875,0.3607
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0526,0.0222,0.5,0.0426,0.0222,0.5,0.0426
9,0.0171,0.0506,0.6154,0.0936,0.0348,0.4231,0.0643
10,0.0165,0.0319,0.3,0.0577,0.0213,0.2,0.0385
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0263,0.0083,1.0,0.0165,0.0083,1.0,0.0165
13,0.1923,0.0248,0.8,0.0481,0.0248,0.8,0.0481
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.013,1.0,0.0256,0.013,1.0,0.0256
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0013,0.0043,0.5,0.0086,0.0043,0.5,0.0086
18,0.1886,0.0125,0.8846,0.0246,0.0108,0.7692,0.0214
19,0.0245,0.0,0.0,0.0,0.0,0.0,0.0
