index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0948,0.1071,0.42,0.1707,0.0816,0.32,0.1301
1,0.0439,0.0194,0.5306,0.0374,0.0127,0.3469,0.0245
2,0.0,0.0035,1.0,0.0069,0.0035,1.0,0.0069
3,0.0165,0.006,0.5,0.0118,0.006,0.5,0.0118
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0684,0.056,0.4375,0.0993,0.048,0.375,0.0851
6,0.024,0.0409,0.5909,0.0765,0.0314,0.4545,0.0588
7,0.2888,0.0228,0.8889,0.0444,0.0214,0.8333,0.0417
8,0.0313,0.0012,0.2222,0.0024,0.0012,0.2222,0.0024
9,0.0,0.0035,0.8,0.007,0.0035,0.8,0.007
10,0.0864,0.0676,0.4828,0.1186,0.0338,0.2414,0.0593
11,0.0,0.0142,0.2273,0.0267,0.0114,0.1818,0.0214
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0272,0.015,0.5,0.0292,0.015,0.5,0.0292
14,0.0,0.1111,0.2083,0.1449,0.1111,0.2083,0.1449
15,0.306,0.0157,0.8,0.0309,0.0157,0.8,0.0309
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0143,0.0598,0.3333,0.1014,0.0435,0.2424,0.0737
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
