index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.1884,0.1885,0.46,0.2674,0.1557,0.38,0.2209
1,0.0195,0.0609,0.5714,0.11,0.0413,0.3878,0.0747
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0165,0.001,0.5,0.0019,0.001,0.5,0.0019
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,0.0625,0.1176,1.0,0.0625,0.1176
6,0.0785,0.0282,0.5455,0.0536,0.0235,0.4545,0.0446
7,0.3655,0.0142,0.8333,0.028,0.0142,0.8333,0.028
8,0.0339,0.0019,0.2222,0.0038,0.0019,0.2222,0.0038
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1035,0.011,0.6897,0.0217,0.0088,0.5517,0.0174
11,0.0,0.0203,0.2727,0.0379,0.0169,0.2273,0.0315
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0115,0.003,0.5,0.006,0.003,0.5,0.006
14,0.0143,0.0427,0.2083,0.0709,0.0427,0.2083,0.0709
15,0.3386,0.2439,0.6667,0.3571,0.2195,0.6,0.3214
16,0.0124,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0135,0.017,0.5758,0.033,0.0134,0.4545,0.0261
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
