index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.1071,0.0486,0.62,0.0901,0.0361,0.46,0.0669
1,0.0788,0.0175,0.5306,0.034,0.0155,0.4694,0.03
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0182,0.0029,0.5,0.0058,0.0029,0.5,0.0058
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1317,0.0204,0.75,0.0398,0.017,0.625,0.0332
6,0.0406,0.122,0.4545,0.1923,0.1098,0.4091,0.1731
7,0.3199,0.1594,0.6111,0.2529,0.1594,0.6111,0.2529
8,0.0338,0.0011,0.2222,0.0022,0.0011,0.2222,0.0022
9,0.0,0.0075,1.0,0.0148,0.0075,1.0,0.0148
10,0.1297,0.024,0.7586,0.0465,0.0174,0.5517,0.0338
11,0.0331,0.0129,0.3182,0.0247,0.011,0.2727,0.0212
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0255,0.0049,0.7,0.0097,0.0049,0.7,0.0097
14,0.0493,0.0063,0.4583,0.0124,0.0063,0.4583,0.0124
15,0.263,0.0119,0.7333,0.0234,0.0119,0.7333,0.0234
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0256,0.0146,0.6364,0.0285,0.0111,0.4848,0.0217
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
